epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.94912,2.28026,3.57692,1.86978,0.55459,0.48138,0.49436,0.26888,1.6369,1.73557,1.47893,0.00012,0.00012,0.00012
2,5.30786,1.69713,1.40425,1.431,0.84751,0.74958,0.82463,0.49224,1.41426,2.04959,1.17965,0.00024713,0.00024713,0.00024713
3,8.64225,1.52363,1.01619,1.21382,0.79627,0.86513,0.84119,0.47649,1.35392,1.59975,1.1898,0.0003604,0.0003604,0.0003604
4,11.608,1.4747,0.88082,1.20483,0.82425,0.85914,0.88316,0.54076,1.33091,2.37412,1.15778,0.00045981,0.00045981,0.00045981
5,14.3321,1.48657,0.85187,1.20498,0.92445,0.84341,0.88481,0.5687,1.29511,1.74757,1.13552,0.00054536,0.00054536,0.00054536
6,16.8112,1.42997,0.77257,1.18378,0.89958,0.85315,0.90169,0.56106,1.33858,1.04521,1.13868,0.00061705,0.00061705,0.00061705
7,19.2246,1.43476,0.7584,1.18923,0.58266,0.80519,0.54871,0.33335,1.34701,2.15257,1.15763,0.00067488,0.00067488,0.00067488
8,22.2655,1.389,0.74743,1.14921,0.52391,0.82917,0.49476,0.30257,1.32149,2.99194,1.16715,0.00071885,0.00071885,0.00071885
9,24.9235,1.38925,0.7453,1.16049,0.8209,0.78521,0.80748,0.49158,1.36128,0.85132,1.16441,0.00074896,0.00074896,0.00074896
10,27.5934,1.4032,0.70735,1.14759,0.93935,0.84216,0.91237,0.56659,1.28403,0.75384,1.14593,0.00076521,0.00076521,0.00076521
11,32.4315,1.4666,0.84639,1.28295,0.9232,0.83317,0.90679,0.56307,1.3054,0.69518,1.1487,0.0007676,0.0007676,0.0007676
12,33.8869,1.403,0.76937,1.15095,0.93341,0.82616,0.88535,0.55786,1.29292,0.70978,1.13563,0.00075613,0.00075613,0.00075613
13,35.2845,1.36635,0.7002,1.16908,0.92826,0.83916,0.90137,0.58187,1.26196,0.66967,1.12591,0.0007308,0.0007308,0.0007308
14,36.6694,1.35567,0.70325,1.19079,0.95205,0.85289,0.91718,0.59556,1.25755,0.63281,1.1079,0.00069161,0.00069161,0.00069161
15,37.9784,1.31631,0.65112,1.12346,0.95973,0.85715,0.91846,0.58426,1.27004,0.60983,1.11222,0.000614,0.000614,0.000614
16,39.2356,1.32431,0.67965,1.13978,0.95814,0.86713,0.92615,0.58332,1.29898,0.58957,1.1374,0.000515,0.000515,0.000515
17,40.469,1.2945,0.62051,1.11918,0.95683,0.86355,0.92784,0.59146,1.25505,0.57995,1.11706,0.000416,0.000416,0.000416
18,41.7381,1.30976,0.61159,1.16028,0.95308,0.87413,0.92787,0.61341,1.21606,0.56271,1.09272,0.000317,0.000317,0.000317
19,43.063,1.28829,0.63424,1.17278,0.95543,0.85814,0.92332,0.60783,1.24117,0.56895,1.09855,0.000218,0.000218,0.000218
20,44.4271,1.25984,0.59259,1.12067,0.95835,0.86214,0.92538,0.60535,1.23948,0.55512,1.09742,0.000119,0.000119,0.000119
