epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1526,2.45123,7.21943,3.53606,1.93936,0.41631,0.28101,0.26016,0.11988,0.01787,0.01183,0.00307,0.00043,1.86482,6.44048,2.41903,1.67447,0.00012,0.00012,0.00012
2,23.7501,1.80392,4.87191,1.65929,1.48823,0.74136,0.7616,0.78411,0.45108,0.15401,0.15287,0.06013,0.01035,1.50845,5.73044,2.48391,1.2829,0.00024713,0.00024713,0.00024713
3,34.1196,1.48886,3.93429,0.91306,1.21224,0.84504,0.80879,0.83826,0.50141,0.56023,0.49682,0.37235,0.06453,1.42859,4.21352,1.49932,1.23046,0.0003604,0.0003604,0.0003604
4,45.0213,1.463,3.73991,0.86218,1.21545,0.81279,0.80983,0.83903,0.51981,0.43441,0.42038,0.26084,0.04362,1.3639,4.0611,1.87704,1.21137,0.00045981,0.00045981,0.00045981
5,54.1677,1.47739,3.76995,0.86829,1.23103,0.86981,0.82348,0.87085,0.50991,0.41833,0.3849,0.221,0.03451,1.47259,3.97257,1.25115,1.23216,0.00054536,0.00054536,0.00054536
6,63.5513,1.46504,3.61497,0.81952,1.18422,0.88536,0.83625,0.87347,0.55256,0.58047,0.53633,0.3959,0.07361,1.31506,3.71514,1.36913,1.15375,0.00061705,0.00061705,0.00061705
7,74.714,1.42672,3.57224,0.79615,1.17984,0.88488,0.82803,0.88359,0.54447,0.18055,0.16924,0.04702,0.00805,1.35605,4.93641,1.12584,1.18573,0.00067488,0.00067488,0.00067488
8,83.8198,1.43186,3.51322,0.85129,1.19915,0.88293,0.83719,0.88682,0.5521,0.44935,0.38035,0.22989,0.03717,1.34635,4.05963,1.09229,1.17283,0.00071885,0.00071885,0.00071885
9,93.3319,1.42041,3.48693,0.78937,1.18072,0.85227,0.78981,0.86255,0.54929,0.5961,0.52411,0.42359,0.08381,1.29861,3.56772,1.04804,1.14213,0.00074896,0.00074896,0.00074896
10,102.754,1.39691,3.4445,0.75143,1.16583,0.83258,0.80892,0.85994,0.54249,0.47318,0.44313,0.28353,0.05255,1.30823,3.64986,0.91687,1.14061,0.00076521,0.00076521,0.00076521
11,117.576,1.41065,3.45107,0.83926,1.20619,0.71807,0.78563,0.6847,0.41487,0.40117,0.42675,0.22374,0.03857,1.36671,4.13614,0.92751,1.15877,0.0007676,0.0007676,0.0007676
12,122.974,1.34777,3.41215,0.72048,1.13986,0.41784,0.68244,0.39637,0.26375,0.24123,0.35214,0.13695,0.02328,1.27061,3.8546,1.58484,1.10359,0.00075613,0.00075613,0.00075613
13,129.519,1.36428,3.45388,0.78075,1.22661,0.42644,0.65969,0.39322,0.25674,0.25754,0.36943,0.14649,0.02589,1.29588,3.71145,1.33079,1.10557,0.0007308,0.0007308,0.0007308
14,135.091,1.38863,3.40112,0.76092,1.16965,0.8464,0.80724,0.85536,0.55009,0.64006,0.52775,0.44293,0.09076,1.31829,3.49899,0.72913,1.12909,0.00069161,0.00069161,0.00069161
15,141.305,1.33959,3.38619,0.6994,1.15151,0.87994,0.78799,0.87104,0.56505,0.58504,0.52229,0.40327,0.0757,1.28813,3.45267,0.70443,1.12026,0.000614,0.000614,0.000614
16,147.285,1.32601,3.41235,0.7831,1.14669,0.93115,0.82446,0.90206,0.57659,0.63753,0.54231,0.41313,0.07652,1.30354,3.52218,0.67307,1.1243,0.000515,0.000515,0.000515
17,152.644,1.29718,3.22915,0.68611,1.12131,0.93857,0.83419,0.90582,0.58854,0.65996,0.5863,0.46346,0.08788,1.2747,3.4297,0.62981,1.11144,0.000416,0.000416,0.000416
18,159.106,1.29286,3.22027,0.66583,1.11625,0.94905,0.84895,0.91135,0.59269,0.7244,0.62662,0.52945,0.10965,1.27793,3.38743,0.60025,1.11605,0.000317,0.000317,0.000317
19,164.84,1.26379,3.18865,0.61467,1.10743,0.94856,0.8626,0.91557,0.59917,0.70838,0.6151,0.50469,0.09913,1.26433,3.35419,0.58466,1.10884,0.000218,0.000218,0.000218
20,171.392,1.29302,3.25699,0.6303,1.13052,0.9516,0.86078,0.91711,0.60466,0.68979,0.62116,0.50657,0.10179,1.24275,3.3286,0.57762,1.09481,0.000119,0.000119,0.000119
