epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.36086,3.92013,7.10075,3.46383,0.00907,0.06634,0.00615,0.00298,3.0943,6.63624,2.81119,0.00012,0.00012,0.00012
2,7.9989,3.19262,6.07213,2.69825,0.01013,0.07415,0.00914,0.00424,2.89638,6.164,2.49151,0.00024713,0.00024713,0.00024713
3,11.0879,2.94549,5.23996,2.35387,0.0152,0.11122,0.02944,0.01567,2.86021,6.03125,2.49994,0.0003604,0.0003604,0.0003604
4,13.8409,3.00299,4.63557,2.32477,0.0332,0.24293,0.08291,0.04772,2.81471,5.8523,2.39213,0.00045981,0.00045981,0.00045981
5,17.3214,3.03991,3.75217,2.30897,0.0512,0.37463,0.20087,0.11216,2.95419,5.56713,2.3702,0.00054536,0.00054536,0.00054536
6,19.9284,3.01089,3.13996,2.2911,0.06973,0.51024,0.26973,0.14943,3.02788,5.44308,2.4013,0.00061705,0.00061705,0.00061705
7,23.3994,2.99912,2.82969,2.25517,0.09227,0.67512,0.40113,0.20632,3.1307,4.99726,2.39122,0.00067488,0.00067488,0.00067488
8,26.1019,2.92876,2.60839,2.25656,0.48762,0.52488,0.51512,0.29216,3.11447,4.52399,2.40931,0.00071885,0.00071885,0.00071885
9,29.2849,2.9298,2.6111,2.26161,0.63005,0.5134,0.52618,0.27928,3.24574,4.34764,2.48918,0.00074896,0.00074896,0.00074896
10,32.5136,2.83016,2.3313,2.22242,0.53488,0.50829,0.49763,0.29386,3.01851,4.34562,2.41133,0.00076521,0.00076521,0.00076521
11,36.6897,2.80422,3.47567,2.28803,0.24477,0.45756,0.38232,0.22267,3.09748,4.66351,2.53463,0.0007676,0.0007676,0.0007676
12,38.3264,2.78791,2.33865,2.23764,0.0804,0.58829,0.23492,0.13434,2.99348,4.49509,2.51854,0.00075613,0.00075613,0.00075613
13,39.818,2.82797,2.32588,2.29861,0.09187,0.6722,0.29623,0.17397,2.96748,4.31337,2.48108,0.0007308,0.0007308,0.0007308
14,41.3487,2.85591,2.59326,2.35644,0.92651,0.33209,0.57117,0.32305,3.096,3.68564,2.45096,0.00069161,0.00069161,0.00069161
15,42.9608,2.76555,2.14443,2.20884,0.85939,0.47317,0.66904,0.40398,2.95051,2.93308,2.37212,0.000614,0.000614,0.000614
16,44.5618,2.69146,2.10921,2.2304,0.7763,0.56488,0.6938,0.41424,3.0174,2.54521,2.38358,0.000515,0.000515,0.000515
17,46.1115,2.62775,2.01182,2.16126,0.76424,0.58506,0.71519,0.42977,2.98302,2.4174,2.37527,0.000416,0.000416,0.000416
18,47.6626,2.67209,2.03152,2.23167,0.77127,0.61366,0.73773,0.44615,2.93285,2.26688,2.36785,0.000317,0.000317,0.000317
19,49.1889,2.60484,2.0455,2.1989,0.77633,0.62732,0.75051,0.453,2.94744,2.21149,2.37076,0.000218,0.000218,0.000218
20,50.718,2.61505,1.92116,2.17399,0.77354,0.6478,0.76105,0.46361,2.91989,2.13104,2.35751,0.000119,0.000119,0.000119
