epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.31026,2.26692,3.67956,1.83733,0.53681,0.46245,0.46832,0.23375,1.72861,1.73516,1.54211,0.00012,0.00012,0.00012
2,5.50578,1.66552,1.37615,1.39911,0.77088,0.70146,0.76969,0.42314,1.60487,1.68296,1.36954,0.00024713,0.00024713,0.00024713
3,7.86122,1.44965,1.01327,1.18911,0.78768,0.80878,0.80077,0.41339,1.5731,1.8993,1.36841,0.0003604,0.0003604,0.0003604
4,10.9759,1.43883,0.83097,1.1789,0.69304,0.82732,0.8032,0.44645,1.50018,3.04508,1.32132,0.00045981,0.00045981,0.00045981
5,14.198,1.42085,0.80497,1.17101,0.85278,0.81463,0.83273,0.48644,1.4945,2.09414,1.29012,0.00054536,0.00054536,0.00054536
6,16.9174,1.38012,0.73614,1.14943,0.88276,0.80683,0.83514,0.48025,1.51649,1.86004,1.30112,0.00061705,0.00061705,0.00061705
7,19.8998,1.37195,0.72209,1.14241,0.90062,0.78829,0.84141,0.48319,1.49722,1.39687,1.29808,0.00067488,0.00067488,0.00067488
8,22.4562,1.34374,0.68589,1.12696,0.89952,0.78634,0.84785,0.48511,1.52164,1.12544,1.33332,0.00071885,0.00071885,0.00071885
9,25.5874,1.35079,0.68984,1.12878,0.88074,0.79512,0.85253,0.4891,1.50949,0.91449,1.33178,0.00074896,0.00074896,0.00074896
10,28.1483,1.3037,0.65437,1.10763,0.89066,0.76293,0.8496,0.48231,1.49427,0.79887,1.31035,0.00076521,0.00076521,0.00076521
11,33.2809,1.3265,0.96274,1.2145,0.90764,0.73824,0.83736,0.48661,1.48272,0.82918,1.29172,0.0007676,0.0007676,0.0007676
12,34.7433,1.33273,0.70514,1.13387,0.89067,0.76297,0.84032,0.47529,1.45374,0.80695,1.26922,0.00075613,0.00075613,0.00075613
13,35.9477,1.31801,0.68269,1.1597,0.89034,0.77561,0.84652,0.48245,1.46721,0.78171,1.25763,0.0007308,0.0007308,0.0007308
14,37.2316,1.32028,0.75671,1.18384,0.91658,0.79805,0.87706,0.51721,1.44145,0.73521,1.24209,0.00069161,0.00069161,0.00069161
15,38.5627,1.27498,0.63085,1.10696,0.9061,0.80017,0.87141,0.50012,1.44535,0.72454,1.24588,0.000614,0.000614,0.000614
16,39.78,1.25438,0.62423,1.12081,0.91403,0.80683,0.88147,0.49838,1.46822,0.69877,1.25843,0.000515,0.000515,0.000515
17,41.0456,1.20327,0.58969,1.08298,0.90653,0.82537,0.88881,0.51807,1.44445,0.68393,1.24922,0.000416,0.000416,0.000416
18,42.3649,1.22941,0.59718,1.11684,0.91129,0.82634,0.89413,0.53684,1.41808,0.64739,1.22412,0.000317,0.000317,0.000317
19,43.6875,1.20908,0.57485,1.09922,0.9119,0.82146,0.88988,0.53035,1.43244,0.64141,1.22678,0.000218,0.000218,0.000218
20,44.9954,1.20638,0.56092,1.08221,0.91873,0.81366,0.88973,0.53103,1.4314,0.63584,1.22253,0.000119,0.000119,0.000119
