epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.37776,2.19197,6.69188,3.54955,1.93285,0.40358,0.39478,0.36009,0.14699,0.00474,0.02049,0.00191,0.00036,1.99666,5.40312,4.32857,1.84984,0.00012,0.00012,0.00012
2,10.1331,1.68751,4.50332,1.4371,1.52587,0.35513,0.65332,0.33181,0.17844,0.15677,0.30146,0.08028,0.0139,1.62499,5.36609,5.22396,1.49262,0.00024713,0.00024713,0.00024713
3,14.468,1.48091,3.87311,1.08413,1.30755,0.22938,0.81659,0.21882,0.11846,0.09126,0.32488,0.04884,0.00869,1.56577,5.77838,inf,1.61965,0.0003604,0.0003604,0.0003604
4,18.2958,1.4544,3.70499,0.94665,1.27054,0.60772,0.66049,0.53674,0.28895,0.19749,0.21463,0.06391,0.0099,1.48032,7.0293,inf,1.51665,0.00045981,0.00045981,0.00045981
5,21.8608,1.45244,3.68134,0.884,1.29075,0.74335,0.82439,0.7984,0.43105,0.30924,0.17951,0.10126,0.01511,1.50799,6.00442,4.01144,1.52052,0.00054536,0.00054536,0.00054536
6,25.783,1.39161,3.57136,0.79012,1.27259,0.35718,0.82049,0.4251,0.23546,0.10575,0.24293,0.04997,0.00759,1.50481,5.57687,5.28052,1.52457,0.00061705,0.00061705,0.00061705
7,29.9703,1.39863,3.57674,0.78203,1.26055,0.42995,0.77756,0.49676,0.28084,0.15407,0.28,0.07874,0.01305,1.54396,4.69663,3.11228,1.53839,0.00067488,0.00067488,0.00067488
8,33.9687,1.36848,3.41043,0.71615,1.23797,0.8025,0.79283,0.82859,0.45053,0.24359,0.2361,0.09306,0.01388,1.59233,4.90529,1.93241,1.55615,0.00071885,0.00071885,0.00071885
9,37.7791,1.3591,3.46743,0.71619,1.23092,0.87429,0.79512,0.84998,0.47587,0.48442,0.4079,0.28363,0.04962,1.53217,4.08839,1.32624,1.46284,0.00074896,0.00074896,0.00074896
10,41.65,1.31201,3.34247,0.66962,1.20712,0.82422,0.76878,0.82296,0.47325,0.44088,0.38829,0.25014,0.04409,1.53858,4.14014,1.21024,1.50173,0.00076521,0.00076521,0.00076521
11,47.9793,1.37026,3.52664,0.92736,1.34828,0.77491,0.72547,0.78753,0.46007,0.39433,0.36488,0.21236,0.03686,1.52707,4.25844,1.05199,1.43791,0.0007676,0.0007676,0.0007676
12,50.4734,1.31343,3.32083,0.72266,1.22848,0.93415,0.73268,0.84115,0.49145,0.37821,0.30049,0.17362,0.029,1.48995,4.70644,0.91072,1.46286,0.00075613,0.00075613,0.00075613
13,52.8485,1.34276,3.3836,0.69869,1.28739,0.91683,0.76356,0.84305,0.49439,0.57139,0.47317,0.3546,0.07299,1.47522,3.93628,0.83579,1.42442,0.0007308,0.0007308,0.0007308
14,55.3876,1.3533,3.30192,0.76961,1.31556,0.90674,0.79681,0.84848,0.49747,0.58713,0.51512,0.38017,0.07381,1.47659,3.89857,0.88796,1.44928,0.00069161,0.00069161,0.00069161
15,58.5871,1.29033,3.25921,0.66015,1.22179,0.915,0.78049,0.8505,0.49744,0.58455,0.47902,0.34708,0.06434,1.50765,3.78439,0.82667,1.44683,0.000614,0.000614,0.000614
16,60.862,1.25859,3.20945,0.64271,1.22055,0.91634,0.8039,0.87123,0.51569,0.54443,0.47512,0.33175,0.06351,1.47084,3.8856,0.77163,1.4222,0.000515,0.000515,0.000515
17,63.4083,1.20615,3.12495,0.60264,1.17595,0.90971,0.82565,0.876,0.52058,0.5712,0.51203,0.3742,0.07213,1.46275,3.7704,0.73623,1.40444,0.000416,0.000416,0.000416
18,65.9163,1.25232,3.18804,0.62762,1.24212,0.9193,0.82439,0.88391,0.52492,0.65253,0.57463,0.4508,0.09216,1.44191,3.61444,0.6988,1.37244,0.000317,0.000317,0.000317
19,68.4275,1.21814,3.19783,0.61514,1.21081,0.92458,0.82537,0.88595,0.5338,0.62131,0.55543,0.41668,0.08077,1.42476,3.67245,0.67174,1.36183,0.000218,0.000218,0.000218
20,70.7144,1.19776,3.08967,0.57981,1.17621,0.92417,0.82537,0.88742,0.54239,0.63408,0.5561,0.42249,0.08501,1.39995,3.60588,0.65612,1.34796,0.000119,0.000119,0.000119
