epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.1969,4.08573,7.01842,3.55211,0.00833,0.0616,0.00626,0.00318,2.96098,6.59283,2.73067,0.00012,0.00012,0.00012
2,6.26118,3.17634,6.04871,2.64094,0.01833,0.13552,0.03239,0.01593,2.77208,6.06912,2.38628,0.00024713,0.00024713,0.00024713
3,9.38922,2.98924,5.08,2.33898,0.03319,0.24538,0.09136,0.05218,2.78683,5.8387,2.35324,0.0003604,0.0003604,0.0003604
4,12.4769,2.94031,4.41095,2.24934,0.05167,0.38193,0.18998,0.10979,2.74724,5.68756,2.3061,0.00045981,0.00045981,0.00045981
5,15.8147,2.99758,3.63976,2.28125,0.05389,0.39836,0.23702,0.13204,2.95675,5.62959,2.4149,0.00054536,0.00054536,0.00054536
6,18.9077,3.01228,3.06943,2.27107,0.07875,0.58214,0.32614,0.19665,2.90681,5.20195,2.35234,0.00061705,0.00061705,0.00061705
7,22.1234,2.98185,2.73959,2.2674,0.09972,0.73717,0.51148,0.29732,2.97277,4.76065,2.32149,0.00067488,0.00067488,0.00067488
8,25.1991,3.00788,2.64327,2.27066,0.09903,0.73203,0.55456,0.32927,3.06651,4.51609,2.37727,0.00071885,0.00071885,0.00071885
9,28.2598,2.92238,2.48194,2.26243,0.66793,0.54004,0.59788,0.34012,3.18232,4.21358,2.49162,0.00074896,0.00074896,0.00074896
10,31.0248,2.96,2.40329,2.28996,0.78133,0.47639,0.6099,0.36037,3.11426,3.8997,2.44508,0.00076521,0.00076521,0.00076521
11,35.3394,2.85818,2.39076,2.28768,0.80742,0.39836,0.5785,0.35298,2.96697,3.80295,2.39949,0.0007676,0.0007676,0.0007676
12,36.9801,2.76328,2.24849,2.27388,0.10998,0.73203,0.47825,0.29326,2.88186,3.9681,2.46649,0.00075613,0.00075613,0.00075613
13,38.5784,2.76776,2.26538,2.26206,0.12157,0.74743,0.53662,0.32904,2.82948,3.87712,2.423,0.0007308,0.0007308,0.0007308
14,40.2192,2.72389,2.22119,2.23002,0.9341,0.34927,0.68841,0.40249,2.89079,3.38933,2.38696,0.00069161,0.00069161,0.00069161
15,41.8023,2.71253,2.16792,2.25549,0.83052,0.60878,0.73917,0.43282,2.91787,2.74291,2.37724,0.000614,0.000614,0.000614
16,43.3929,2.70818,2.07931,2.23992,0.78563,0.63039,0.74397,0.45163,2.89918,2.35001,2.33002,0.000515,0.000515,0.000515
17,44.9205,2.7032,1.98895,2.19132,0.78414,0.63963,0.74724,0.45286,2.9117,2.26142,2.33455,0.000416,0.000416,0.000416
18,46.5118,2.6573,1.96672,2.17731,0.79086,0.65503,0.75941,0.47161,2.8476,2.12842,2.31491,0.000317,0.000317,0.000317
19,48.1126,2.69428,2.0222,2.21408,0.80807,0.66324,0.76925,0.47717,2.82195,2.07414,2.30036,0.000218,0.000218,0.000218
20,49.7392,2.65101,2.04794,2.2596,0.7952,0.67146,0.77425,0.48353,2.79756,2.0141,2.28682,0.000119,0.000119,0.000119
