epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77418,2.30807,3.64363,1.87609,0.69424,0.46308,0.55223,0.30593,1.62372,1.65352,1.53034,0.00012,0.00012,0.00012
2,5.28096,1.70812,1.40326,1.44498,0.80876,0.66873,0.77251,0.46096,1.48037,1.38049,1.278,0.00024713,0.00024713,0.00024713
3,8.25305,1.51216,1.05256,1.21817,0.73757,0.79874,0.73967,0.40046,1.49938,2.03087,1.31302,0.0003604,0.0003604,0.0003604
4,11.3928,1.45062,0.84885,1.18585,0.75645,0.8221,0.82928,0.50551,1.38171,2.79114,1.22526,0.00045981,0.00045981,0.00045981
5,14.0905,1.45243,0.81633,1.20476,0.8845,0.81402,0.8492,0.5333,1.35525,1.74745,1.19515,0.00054536,0.00054536,0.00054536
6,16.6573,1.39701,0.76129,1.17093,0.88607,0.82929,0.86941,0.52561,1.40885,1.64977,1.21331,0.00061705,0.00061705,0.00061705
7,19.3566,1.39026,0.73108,1.16478,0.91522,0.81042,0.86257,0.53357,1.38844,1.25799,1.20421,0.00067488,0.00067488,0.00067488
8,22.4969,1.38806,0.75189,1.13666,0.92313,0.81671,0.87046,0.54308,1.35556,1.00324,1.20388,0.00071885,0.00071885,0.00071885
9,25.3925,1.3916,0.73222,1.1561,0.9388,0.79936,0.86018,0.51614,1.4069,0.86495,1.22473,0.00074896,0.00074896,0.00074896
10,27.963,1.35878,0.70336,1.13569,0.93114,0.79245,0.86485,0.52665,1.35579,0.85373,1.21812,0.00076521,0.00076521,0.00076521
11,32.675,1.43883,0.89625,1.28697,0.89909,0.75251,0.83361,0.51559,1.37933,0.85975,1.24005,0.0007676,0.0007676,0.0007676
12,34.0781,1.37416,0.75567,1.15371,0.93927,0.7628,0.84553,0.53711,1.32278,0.79555,1.1986,0.00075613,0.00075613,0.00075613
13,35.3803,1.34629,0.69239,1.17752,0.94175,0.78442,0.85599,0.54551,1.32386,0.75102,1.18079,0.0007308,0.0007308,0.0007308
14,36.7319,1.33989,0.70406,1.19769,0.94479,0.80952,0.89008,0.56615,1.31805,0.68115,1.1632,0.00069161,0.00069161,0.00069161
15,38.1059,1.32469,0.65031,1.1351,0.93319,0.83738,0.89383,0.56207,1.30819,0.66095,1.15979,0.000614,0.000614,0.000614
16,39.5425,1.29984,0.65226,1.13593,0.93788,0.8248,0.88873,0.55226,1.32625,0.64023,1.16851,0.000515,0.000515,0.000515
17,40.8409,1.25273,0.61294,1.10344,0.94787,0.82749,0.8911,0.55305,1.32177,0.6314,1.16561,0.000416,0.000416,0.000416
18,42.1211,1.26563,0.59128,1.1352,0.94996,0.83738,0.89839,0.56995,1.29996,0.60226,1.14049,0.000317,0.000317,0.000317
19,43.4038,1.24985,0.60311,1.14048,0.95285,0.83528,0.90116,0.5741,1.30195,0.5887,1.13579,0.000218,0.000218,0.000218
20,44.8269,1.23026,0.56959,1.0992,0.94896,0.84097,0.90769,0.57958,1.28312,0.56809,1.12445,0.000119,0.000119,0.000119
