epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.01509,3.97573,7.03166,3.55628,0.00507,0.03458,0.00332,0.00147,2.86938,6.64033,2.61067,0.00012,0.00012,0.00012
2,6.01555,3.1942,6.01174,2.72515,0.01053,0.07188,0.0155,0.00912,2.59938,6.14963,2.31583,0.00024713,0.00024713,0.00024713
3,9.02165,3.0563,5.14037,2.38953,0.02,0.13649,0.05317,0.03273,2.54974,5.87406,2.20849,0.0003604,0.0003604,0.0003604
4,11.881,3.04923,4.52246,2.31669,0.04253,0.29026,0.13437,0.08528,2.56961,5.66174,2.15298,0.00045981,0.00045981,0.00045981
5,14.7159,3.04024,3.7068,2.30854,0.06427,0.43858,0.2694,0.16064,2.72234,5.35918,2.17505,0.00054536,0.00054536,0.00054536
6,17.5787,3.01624,3.09067,2.27945,0.0688,0.46952,0.26809,0.13336,2.825,5.36097,2.25086,0.00061705,0.00061705,0.00061705
7,20.6266,3.03184,2.86773,2.31195,0.10067,0.68699,0.50987,0.31,2.85103,4.86316,2.24152,0.00067488,0.00067488,0.00067488
8,23.8785,3.03414,2.76699,2.29459,0.10707,0.73066,0.56167,0.33527,2.92076,4.5454,2.26305,0.00071885,0.00071885,0.00071885
9,26.7408,2.97511,2.63124,2.29909,0.35293,0.72066,0.60561,0.35101,2.93528,4.16884,2.23359,0.00074896,0.00074896,0.00074896
10,29.7621,2.92084,2.39539,2.26818,0.62053,0.50773,0.56093,0.36306,2.70411,3.88065,2.17765,0.00076521,0.00076521,0.00076521
11,33.9855,3.04339,3.01954,2.51117,0.76513,0.37307,0.55107,0.3514,2.76921,3.58286,2.23005,0.0007676,0.0007676,0.0007676
12,35.6622,2.8385,2.55427,2.2749,0.16369,0.74977,0.5671,0.37625,2.57354,3.60403,2.19151,0.00075613,0.00075613,0.00075613
13,37.2835,2.82187,2.38806,2.33411,0.33393,0.69882,0.63432,0.40947,2.58112,3.59069,2.18539,0.0007308,0.0007308,0.0007308
14,38.7941,2.79272,2.43799,2.34784,0.93469,0.45577,0.70511,0.44009,2.7553,3.05305,2.21095,0.00069161,0.00069161,0.00069161
15,40.3598,2.72588,2.21434,2.24196,0.80507,0.59378,0.72773,0.47515,2.63649,2.4448,2.18184,0.000614,0.000614,0.000614
16,41.8665,2.75162,2.24959,2.23638,0.79076,0.64306,0.75354,0.48083,2.71008,2.15099,2.19789,0.000515,0.000515,0.000515
17,43.374,2.70444,2.04814,2.18965,0.79601,0.65514,0.766,0.49015,2.70527,2.07893,2.18665,0.000416,0.000416,0.000416
18,44.9273,2.77159,2.05925,2.27601,0.81748,0.68061,0.77993,0.50923,2.59112,2.00549,2.1415,0.000317,0.000317,0.000317
19,46.4629,2.79641,2.21846,2.30149,0.80218,0.68426,0.77975,0.51235,2.582,1.97029,2.14024,0.000218,0.000218,0.000218
20,48.079,2.64396,1.94345,2.20149,0.79489,0.69117,0.78589,0.51611,2.5913,1.91491,2.14355,0.000119,0.000119,0.000119
