epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.642,1.40306,2.35627,1.33278,1.2791,0.60744,0.56169,0.57781,0.31708,0.59924,0.53209,0.54158,0.24801,1.4868,2.61227,1.50349,1.40429,0.000665289,0.000665289,0.000665289
2,483.888,1.39976,2.30124,1.22251,1.28173,0.63086,0.57585,0.59961,0.34954,0.62701,0.55289,0.57068,0.28178,1.39776,2.49782,1.41865,1.34867,0.00126602,0.00126602,0.00126602
3,721.653,1.36805,2.25135,1.17785,1.26091,0.65545,0.57558,0.62229,0.36983,0.6532,0.56333,0.60412,0.30567,1.3387,2.32088,1.28383,1.31163,0.00180076,0.00180076,0.00180076
4,958.175,1.31492,2.14255,1.11728,1.23038,0.69898,0.61367,0.67332,0.40722,0.69832,0.60012,0.65621,0.34378,1.28975,2.15475,1.11802,1.26154,0.001703,0.001703,0.001703
5,1194.56,1.28604,2.09221,1.07686,1.21024,0.68176,0.6454,0.68655,0.43321,0.6821,0.63493,0.67273,0.36501,1.24137,2.07588,1.05705,1.23882,0.001604,0.001604,0.001604
6,1429.81,1.25858,2.0444,1.04429,1.19488,0.71508,0.63452,0.69692,0.438,0.70784,0.61985,0.67806,0.36689,1.21632,2.06021,1.04317,1.22713,0.001505,0.001505,0.001505
7,1665.6,1.23247,1.99764,1.02343,1.18684,0.72188,0.6402,0.70592,0.44464,0.7207,0.62622,0.6883,0.37463,1.20935,2.01496,0.99054,1.21955,0.001406,0.001406,0.001406
8,1900.68,1.2142,1.9634,0.99266,1.17217,0.73501,0.65185,0.71766,0.454,0.73001,0.64009,0.70139,0.38546,1.2173,2.00518,0.97148,1.20384,0.001307,0.001307,0.001307
9,2135.73,1.20172,1.93478,0.97637,1.16423,0.73978,0.6588,0.72677,0.46628,0.73232,0.64095,0.70404,0.38849,1.17764,1.93803,0.95434,1.19907,0.001208,0.001208,0.001208
10,2370.27,1.18001,1.90836,0.95462,1.15425,0.73214,0.67337,0.73035,0.47682,0.73327,0.66095,0.71554,0.4051,1.14708,1.92915,0.94253,1.17891,0.001109,0.001109,0.001109
11,2599.71,1.18179,1.91934,0.9846,1.18103,0.74951,0.66658,0.74172,0.48252,0.74482,0.65513,0.72632,0.40966,1.15049,1.89565,0.92776,1.17531,0.00101,0.00101,0.00101
12,2827.98,1.17024,1.89077,0.95745,1.16979,0.74981,0.65278,0.72745,0.47015,0.74775,0.63958,0.71096,0.39854,1.16757,1.916,0.94735,1.19057,0.000911,0.000911,0.000911
13,3055.79,1.15101,1.87012,0.93775,1.16216,0.74628,0.66653,0.73992,0.48093,0.73643,0.65279,0.72225,0.40371,1.15086,1.87454,0.93067,1.17378,0.000812,0.000812,0.000812
14,3284.02,1.13698,1.82378,0.92123,1.15339,0.75021,0.67097,0.74261,0.48434,0.7527,0.65599,0.72876,0.40944,1.14702,1.8909,0.91117,1.1754,0.000713,0.000713,0.000713
15,3512.64,1.12348,1.80878,0.90571,1.14415,0.75053,0.67947,0.75172,0.49335,0.7471,0.66064,0.7314,0.41524,1.1234,1.83863,0.91346,1.16186,0.000614,0.000614,0.000614
16,3741.07,1.10275,1.76605,0.88184,1.13484,0.76369,0.67884,0.75633,0.50112,0.75779,0.66814,0.74048,0.42864,1.11504,1.8193,0.87462,1.15963,0.000515,0.000515,0.000515
17,3969.31,1.08914,1.74601,0.86939,1.12725,0.76679,0.67584,0.75835,0.50359,0.76326,0.65845,0.74089,0.42598,1.11077,1.8068,0.86735,1.15885,0.000416,0.000416,0.000416
18,4198.82,1.0768,1.71376,0.84633,1.11842,0.76062,0.6906,0.76578,0.51192,0.76236,0.67396,0.75032,0.43678,1.09008,1.77741,0.86033,1.14432,0.000317,0.000317,0.000317
19,4428.41,1.05641,1.69148,0.82687,1.10789,0.77017,0.68502,0.76719,0.51723,0.76836,0.67146,0.75155,0.43852,1.076,1.75692,0.85022,1.13667,0.000218,0.000218,0.000218
20,4657.61,1.03759,1.66449,0.80657,1.09767,0.77018,0.69197,0.7693,0.518,0.7666,0.68,0.75513,0.44176,1.07714,1.75697,0.84507,1.13976,0.000119,0.000119,0.000119
