epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.56056,2.6506,8.10274,3.59884,2.36837,0.028,0.18868,0.03224,0.01027,0.00213,0.01438,0.00119,0.00022,2.25795,6.45121,3.7778,2.25967,0.00012,0.00012,0.00012
2,8.34061,2.39308,6.61365,3.26592,2.1539,0.12229,0.37646,0.10321,0.04434,0.01337,0.01258,0.00216,0.00046,1.81724,5.43667,2.2748,1.72403,0.000249704,0.000249704,0.000249704
3,12.2205,1.81353,5.15583,2.04614,1.57658,0.49884,0.5319,0.50246,0.25695,0.06348,0.06379,0.01645,0.00244,1.47885,5.54815,4.43786,1.43932,0.00036832,0.00036832,0.00036832
4,16.4913,1.62846,4.5899,1.34624,1.37257,0.72783,0.60916,0.65719,0.37017,0.27136,0.19374,0.08913,0.01308,1.49641,5.20068,1.23335,1.3816,0.000475848,0.000475848,0.000475848
5,19.9904,1.57612,4.31884,1.10649,1.33344,0.80894,0.67565,0.74146,0.44165,0.49426,0.31896,0.22377,0.03825,1.4752,4.9284,1.05496,1.30906,0.000572288,0.000572288,0.000572288
6,23.7613,1.47476,3.99118,0.92924,1.23993,0.85949,0.74214,0.79872,0.48257,0.5215,0.38005,0.28556,0.04764,1.40679,4.4666,0.89296,1.24903,0.00065764,0.00065764,0.00065764
7,27.9143,1.45882,3.82341,0.86882,1.22829,0.89858,0.7673,0.83458,0.50875,0.53675,0.44564,0.32275,0.05693,1.40118,4.09422,0.82926,1.21849,0.000731904,0.000731904,0.000731904
8,31.8376,1.42345,3.71733,0.80612,1.17197,0.91216,0.78616,0.84489,0.51058,0.57124,0.47529,0.34583,0.06311,1.37097,3.96185,0.80583,1.19355,0.00079508,0.00079508,0.00079508
9,36.0438,1.42754,3.70364,0.79752,1.18979,0.90875,0.81423,0.85561,0.49599,0.49227,0.4124,0.25109,0.04246,1.39838,3.98102,0.76071,1.19192,0.000847168,0.000847168,0.000847168
10,39.3745,1.40428,3.63743,0.75608,1.17132,0.91413,0.81132,0.8768,0.53382,0.56021,0.45093,0.32002,0.05632,1.36261,3.79063,0.75424,1.16396,0.000888168,0.000888168,0.000888168
11,43.2921,1.4242,3.60281,0.76467,1.1773,0.9125,0.8212,0.88541,0.5453,0.62441,0.52022,0.39878,0.07387,1.34839,3.66956,0.76034,1.15694,0.00091808,0.00091808,0.00091808
12,47.2741,1.38494,3.51513,0.72089,1.18405,0.93997,0.79605,0.8837,0.53893,0.58323,0.48787,0.35059,0.06099,1.3853,3.72024,0.72579,1.17175,0.000936904,0.000936904,0.000936904
13,50.827,1.33526,3.4739,0.70018,1.15398,0.93891,0.79695,0.88664,0.54797,0.64442,0.53819,0.4238,0.08048,1.34189,3.59478,0.69741,1.15658,0.00094464,0.00094464,0.00094464
14,54.6782,1.34292,3.42178,0.69777,1.15504,0.92502,0.8092,0.88345,0.55698,0.65859,0.56065,0.43726,0.08569,1.31911,3.52453,0.67966,1.15183,0.000941288,0.000941288,0.000941288
15,58.4136,1.32968,3.39193,0.6793,1.11627,0.91731,0.82722,0.88955,0.55742,0.55028,0.45822,0.31635,0.05376,1.33776,3.67582,0.66091,1.15545,0.0008912,0.0008912,0.0008912
16,64.6285,1.37503,3.46488,0.75814,1.18689,0.91948,0.82081,0.88983,0.56313,0.59799,0.50404,0.37396,0.0647,1.32732,3.60649,0.63134,1.15207,0.000812,0.000812,0.000812
17,67.008,1.35056,3.46132,0.68299,1.19105,0.9187,0.82242,0.89165,0.56655,0.66863,0.54386,0.44075,0.08255,1.31173,3.51461,0.61342,1.14592,0.0007328,0.0007328,0.0007328
18,69.625,1.3403,3.40411,0.66755,1.16146,0.92484,0.82915,0.89598,0.56287,0.71225,0.60269,0.52053,0.10365,1.332,3.48822,0.62083,1.15566,0.0006536,0.0006536,0.0006536
19,72.3201,1.31127,3.38641,0.65145,1.15876,0.9373,0.81925,0.89879,0.57459,0.71122,0.61006,0.51826,0.10035,1.31303,3.44122,0.61963,1.14665,0.0005744,0.0005744,0.0005744
20,75.0234,1.28907,3.35448,0.62938,1.15271,0.92825,0.82533,0.89791,0.57525,0.62107,0.51688,0.39495,0.07323,1.31548,3.50798,0.60151,1.14557,0.0004952,0.0004952,0.0004952
21,77.3518,1.28074,3.32768,0.60798,1.13248,0.91947,0.83199,0.89781,0.57564,0.59137,0.52561,0.39032,0.07026,1.32452,3.55151,0.5924,1.14741,0.000416,0.000416,0.000416
22,79.6995,1.28449,3.32977,0.61109,1.14189,0.92904,0.82659,0.89934,0.58009,0.60867,0.53729,0.40851,0.07705,1.30598,3.5255,0.58269,1.13939,0.0003368,0.0003368,0.0003368
23,82.0364,1.28514,3.34151,0.61346,1.12511,0.92961,0.83063,0.89886,0.58055,0.6592,0.56873,0.46026,0.08838,1.29707,3.46668,0.57597,1.13579,0.0002576,0.0002576,0.0002576
24,84.3751,1.27246,3.28099,0.61356,1.1394,0.93157,0.83199,0.89916,0.58199,0.70762,0.60018,0.51056,0.10147,1.29372,3.4145,0.57145,1.13491,0.0001784,0.0001784,0.0001784
25,86.9338,1.29405,3.34136,0.63233,1.14539,0.92984,0.83348,0.90097,0.58341,0.71831,0.60486,0.52176,0.10422,1.29387,3.4081,0.56919,1.13579,9.92e-05,9.92e-05,9.92e-05
