epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.4941,2.24983,6.72125,3.71681,1.99033,0.58477,0.44564,0.49284,0.26343,0.04666,0.04672,0.01002,0.00188,1.77877,5.46536,1.67927,1.76251,0.00012,0.00012,0.00012
2,8.34696,1.73128,4.62498,1.5082,1.59904,0.65492,0.68464,0.69968,0.39595,0.33416,0.2965,0.1742,0.02751,1.56445,4.8282,1.57172,1.4032,0.00024713,0.00024713,0.00024713
3,12.3108,1.54868,3.97395,1.1389,1.3854,0.30703,0.86882,0.39602,0.2278,0.14573,0.4124,0.11194,0.0194,1.43913,5.02812,inf,1.48825,0.0003604,0.0003604,0.0003604
4,16.3977,1.44481,3.80297,0.90597,1.28924,0.92352,0.72686,0.80779,0.47272,0.36187,0.28482,0.14154,0.02329,1.35962,4.64412,inf,1.42494,0.00045981,0.00045981,0.00045981
5,19.6214,1.48709,3.74758,0.9605,1.33078,0.28356,0.84367,0.30554,0.18219,0.18696,0.33243,0.11356,0.02158,1.3639,4.10792,inf,1.39747,0.00054536,0.00054536,0.00054536
6,23.5266,1.44319,3.65038,0.8363,1.31988,0.27871,0.80773,0.29035,0.17311,0.13615,0.21114,0.06388,0.0106,1.44288,4.17458,inf,1.42066,0.00061705,0.00061705,0.00061705
7,27.4183,1.40702,3.56738,0.80781,1.29921,0.19691,0.7628,0.18199,0.10844,0.10418,0.39712,0.06579,0.01305,1.43828,4.35224,inf,1.43548,0.00067488,0.00067488,0.00067488
8,30.8095,1.39838,3.48479,0.78567,1.25061,0.3521,0.79695,0.33191,0.19703,0.17503,0.39173,0.09784,0.01876,1.4112,4.11676,inf,1.40649,0.00071885,0.00071885,0.00071885
9,34.5659,1.41379,3.48202,0.78651,1.28358,0.32878,0.62714,0.27956,0.16729,0.19107,0.31716,0.09531,0.01815,1.47171,4.14205,4.53792,1.48821,0.00074896,0.00074896,0.00074896
10,38.0471,1.36831,3.46492,0.73656,1.25641,0.67344,0.56694,0.57804,0.35631,0.41964,0.28841,0.18014,0.03096,1.50908,4.21229,1.32461,1.52878,0.00076521,0.00076521,0.00076521
11,44.4411,1.43611,3.58814,0.96444,1.41983,0.47275,0.5283,0.48309,0.30993,0.33067,0.3558,0.23283,0.04021,1.41979,4.11577,1.76093,1.41965,0.0007676,0.0007676,0.0007676
12,46.8851,1.37569,3.39596,0.84168,1.28336,0.70127,0.70081,0.63449,0.39976,0.16879,0.15813,0.044,0.00685,1.3564,5.33463,1.43444,1.41614,0.00075613,0.00075613,0.00075613
13,49.2965,1.35618,3.38679,0.74904,1.32568,0.74943,0.73226,0.68018,0.41799,0.20159,0.19407,0.06139,0.00933,1.38485,5.35769,1.00227,1.41201,0.0007308,0.0007308,0.0007308
14,51.6388,1.35591,3.34193,0.77984,1.33974,0.81593,0.66577,0.77054,0.47222,0.20176,0.15274,0.07005,0.0117,1.42709,5.80629,0.9894,1.42006,0.00069161,0.00069161,0.00069161
15,54.049,1.30779,3.27852,0.68299,1.25807,0.95308,0.79964,0.88732,0.56174,0.54508,0.45732,0.31821,0.05662,1.32132,3.73785,0.73741,1.32089,0.000614,0.000614,0.000614
16,56.5899,1.27763,3.25985,0.67508,1.24771,0.93892,0.82839,0.8957,0.5764,0.65805,0.56244,0.45508,0.08798,1.28934,3.44484,0.68884,1.29195,0.000515,0.000515,0.000515
17,59.5784,1.25173,3.19993,0.63341,1.21361,0.93905,0.83052,0.89638,0.57166,0.53973,0.47619,0.33176,0.05756,1.30789,3.73391,0.68884,1.30472,0.000416,0.000416,0.000416
18,61.8611,1.27883,3.17932,0.63193,1.27512,0.93353,0.83738,0.89879,0.58141,0.63061,0.56244,0.44649,0.08525,1.28548,3.48448,0.64253,1.29211,0.000317,0.000317,0.000317
19,64.4676,1.25516,3.15896,0.62574,1.25016,0.93503,0.84187,0.90551,0.59167,0.72027,0.62624,0.53677,0.11278,1.27091,3.32565,0.60648,1.27542,0.000218,0.000218,0.000218
20,67.2804,1.22092,3.13287,0.59416,1.21093,0.93605,0.84816,0.9087,0.60001,0.72442,0.6188,0.53114,0.11466,1.25888,3.27586,0.59128,1.26959,0.000119,0.000119,0.000119
