epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7793,2.50007,7.23783,3.6078,1.95789,0.33673,0.18816,0.15544,0.04996,0.00592,0.00899,0.00182,0.00035,1.97966,6.76311,2.76445,1.75713,0.00012,0.00012,0.00012
2,25.9443,1.8171,4.92997,1.74338,1.52327,0.70072,0.66429,0.73482,0.44508,0.15609,0.16981,0.05315,0.00853,1.48773,4.68424,2.94696,1.27123,0.00024713,0.00024713,0.00024713
3,36.1831,1.55694,4.0128,0.95811,1.26047,0.78336,0.82018,0.82918,0.48425,0.48157,0.49351,0.35301,0.0606,1.49731,4.50037,2.21018,1.2685,0.0003604,0.0003604,0.0003604
4,45.9612,1.48228,3.76074,0.86399,1.22763,0.8934,0.80619,0.8652,0.52569,0.40796,0.34765,0.19045,0.02925,1.35388,4.47232,1.5853,1.18908,0.00045981,0.00045981,0.00045981
5,56.113,1.46519,3.74206,0.8497,1.21817,0.81346,0.83516,0.8379,0.51688,0.41055,0.37363,0.20841,0.03404,1.36082,4.05243,1.41101,1.17072,0.00054536,0.00054536,0.00054536
6,67.5926,1.44646,3.58888,0.80328,1.19419,0.89907,0.83652,0.89533,0.55501,0.38594,0.34366,0.17918,0.02599,1.34446,4.27025,1.13711,1.16857,0.00061705,0.00061705,0.00061705
7,76.3042,1.44047,3.54729,0.78304,1.18175,0.83651,0.82806,0.87708,0.55971,0.40865,0.3966,0.21592,0.03513,1.30949,3.92234,1.13666,1.1588,0.00067488,0.00067488,0.00067488
8,86.738,1.4367,3.5261,0.80997,1.20943,0.70108,0.82118,0.70151,0.42191,0.39584,0.4549,0.24457,0.04478,1.36663,3.69587,1.30812,1.16897,0.00071885,0.00071885,0.00071885
9,97.3559,1.40759,3.51321,0.76344,1.18015,0.86775,0.81718,0.86717,0.55306,0.62042,0.56007,0.43988,0.08573,1.31087,3.61266,0.89396,1.11948,0.00074896,0.00074896,0.00074896
10,106.177,1.3702,3.44553,0.73523,1.14857,0.93959,0.80619,0.88199,0.55728,0.66226,0.52847,0.42572,0.07908,1.31696,3.61196,0.78787,1.13721,0.00076521,0.00076521,0.00076521
11,121.337,1.40863,3.52056,0.79664,1.21555,0.89006,0.71528,0.83739,0.52808,0.58972,0.45854,0.36872,0.06483,1.32265,4.07629,0.89258,1.14282,0.0007676,0.0007676,0.0007676
12,127.079,1.33408,3.39254,0.73693,1.14191,0.91255,0.8012,0.87596,0.56947,0.64735,0.49251,0.40037,0.07594,1.28197,3.75989,0.78347,1.11386,0.00075613,0.00075613,0.00075613
13,133.892,1.36956,3.46365,0.74772,1.22557,0.90149,0.82277,0.88598,0.57006,0.68943,0.54346,0.45519,0.09125,1.28529,3.55537,0.74528,1.11142,0.0007308,0.0007308,0.0007308
14,139.691,1.36127,3.38955,0.74368,1.17238,0.89799,0.8022,0.88121,0.56396,0.67747,0.58941,0.50058,0.10001,1.30195,3.52904,0.74059,1.11525,0.00069161,0.00069161,0.00069161
15,145.88,1.32639,3.38669,0.66907,1.13966,0.94158,0.83731,0.9068,0.58075,0.61515,0.54545,0.41314,0.07841,1.28045,3.50405,0.70018,1.10557,0.000614,0.000614,0.000614
16,151.832,1.34506,3.34029,0.76091,1.16291,0.94949,0.84505,0.91417,0.5844,0.63841,0.54845,0.41239,0.07419,1.27544,3.58465,0.63307,1.10516,0.000515,0.000515,0.000515
17,156.999,1.28509,3.23343,0.67104,1.11838,0.94175,0.85604,0.92114,0.5968,0.61763,0.52048,0.38949,0.06993,1.24648,3.4706,0.61049,1.09114,0.000416,0.000416,0.000416
18,163.421,1.28875,3.20027,0.66237,1.11644,0.95077,0.87013,0.9283,0.60432,0.65707,0.55445,0.44663,0.08131,1.25236,3.3779,0.59276,1.0942,0.000317,0.000317,0.000317
19,169.457,1.28632,3.22042,0.61831,1.10535,0.95088,0.88012,0.92994,0.60292,0.62322,0.53546,0.41281,0.07868,1.25395,3.38485,0.5634,1.09423,0.000218,0.000218,0.000218
20,175.646,1.26616,3.20104,0.60079,1.11627,0.95167,0.88518,0.93528,0.61505,0.69286,0.59944,0.49589,0.09707,1.22527,3.33275,0.54005,1.08128,0.000119,0.000119,0.000119
