epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3855,2.42379,7.20078,3.63373,1.92843,0.37397,0.26085,0.19563,0.08872,0.03004,0.02246,0.00438,0.00073,1.86269,7.00945,2.62353,1.70215,0.00012,0.00012,0.00012
2,23.3886,1.81522,4.90538,1.73361,1.51239,0.7582,0.73675,0.78355,0.44576,0.27071,0.24438,0.15322,0.0246,1.49502,4.8419,2.55809,1.31292,0.00024713,0.00024713,0.00024713
3,33.9801,1.52719,3.95432,0.93119,1.22451,0.75987,0.81402,0.74573,0.42701,0.41884,0.44025,0.24548,0.04248,1.48249,4.37005,1.95131,1.30415,0.0003604,0.0003604,0.0003604
4,43.6433,1.4687,3.68467,0.90209,1.21577,0.85632,0.81222,0.82732,0.467,0.31536,0.30099,0.13321,0.0202,1.46104,4.28164,1.42504,1.28668,0.00045981,0.00045981,0.00045981
5,54.5496,1.46873,3.73961,0.866,1.21548,0.86426,0.81222,0.82724,0.47332,0.43148,0.39892,0.22199,0.03838,1.40765,4.1484,1.21307,1.21838,0.00054536,0.00054536,0.00054536
6,64.5211,1.43398,3.54998,0.79235,1.17417,0.8084,0.80364,0.82471,0.49485,0.24244,0.2345,0.10826,0.01801,1.39959,4.68776,1.55314,1.21352,0.00061705,0.00061705,0.00061705
7,74.1336,1.39261,3.49031,0.79031,1.1576,0.81632,0.77538,0.78688,0.47769,0.32175,0.30458,0.14046,0.02289,1.402,4.18732,1.08076,1.21229,0.00067488,0.00067488,0.00067488
8,83.8554,1.4364,3.49129,0.87614,1.20586,0.89305,0.76909,0.84671,0.50444,0.31335,0.25696,0.12588,0.01951,1.47363,4.33653,1.04608,1.257,0.00071885,0.00071885,0.00071885
9,94.9991,1.41924,3.55299,0.785,1.19157,0.93666,0.80234,0.86357,0.53652,0.48974,0.41689,0.26056,0.04425,1.38659,3.84754,0.81728,1.18223,0.00074896,0.00074896,0.00074896
10,103.229,1.37754,3.41754,0.77193,1.14985,0.92198,0.79784,0.85943,0.53513,0.45654,0.38365,0.21942,0.03538,1.38254,3.91313,0.78685,1.18198,0.00076521,0.00076521,0.00076521
11,118.258,1.37683,3.48508,0.75896,1.1891,0.90484,0.79695,0.86143,0.53215,0.61914,0.51123,0.40392,0.07586,1.37168,3.65259,0.72832,1.19337,0.0007676,0.0007676,0.0007676
12,124.509,1.33557,3.37539,0.68744,1.14596,0.91535,0.77728,0.85492,0.52975,0.6594,0.54987,0.4467,0.08267,1.3663,3.63243,0.77441,1.17227,0.00075613,0.00075613,0.00075613
13,130.554,1.42114,3.51369,0.82063,1.249,0.90657,0.78437,0.86162,0.52483,0.6132,0.48429,0.37843,0.07351,1.38485,3.90567,0.78723,1.18181,0.0007308,0.0007308,0.0007308
14,136.942,1.36556,3.38781,0.72586,1.15857,0.92752,0.80773,0.87252,0.53787,0.56776,0.48741,0.35957,0.06812,1.3549,3.99889,0.74911,1.17153,0.00069161,0.00069161,0.00069161
15,142.305,1.31278,3.39683,0.66623,1.13853,0.94179,0.81406,0.90219,0.56305,0.65559,0.53639,0.4274,0.0866,1.33722,3.56421,0.66913,1.15785,0.000614,0.000614,0.000614
16,148.891,1.34038,3.33609,0.70528,1.156,0.91738,0.81804,0.89887,0.57062,0.73116,0.60647,0.53124,0.11616,1.30695,3.4772,0.66557,1.1407,0.000515,0.000515,0.000515
17,154.349,1.32931,3.29338,0.67646,1.1323,0.93237,0.82996,0.90434,0.57788,0.77745,0.6309,0.57061,0.12221,1.29334,3.3785,0.63259,1.12717,0.000416,0.000416,0.000416
18,161.022,1.28784,3.23671,0.63653,1.12477,0.93411,0.84456,0.91001,0.57815,0.73317,0.60916,0.52534,0.1116,1.30834,3.40618,0.59433,1.12529,0.000317,0.000317,0.000317
19,166.868,1.26625,3.2116,0.61712,1.11037,0.9375,0.84906,0.91359,0.57969,0.66784,0.60336,0.46954,0.09643,1.31335,3.35686,0.58522,1.12532,0.000218,0.000218,0.000218
20,173.734,1.26289,3.20545,0.60793,1.1107,0.94194,0.85175,0.91546,0.59111,0.70647,0.62803,0.51274,0.10639,1.27076,3.29751,0.56584,1.10829,0.000119,0.000119,0.000119
