epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.41396,2.6769,8.04591,3.5941,2.36312,0.02267,0.15469,0.0241,0.00808,0.02507,0.00364,0.00162,0.00022,2.27927,6.33209,3.89481,2.21448,0.00012,0.00012,0.00012
2,8.27362,2.39615,6.64784,3.26141,2.12185,0.15724,0.29208,0.10862,0.04691,0.00413,0.02821,0.00221,0.0004,1.77967,5.20576,2.25577,1.64676,0.000249704,0.000249704,0.000249704
3,12.3814,1.81327,5.17761,1.94671,1.5429,0.49106,0.53867,0.5298,0.27986,0.02831,0.03367,0.00605,0.00101,1.42339,5.23153,4.92657,1.38119,0.00036832,0.00036832,0.00036832
4,16.717,1.65663,4.64062,1.34444,1.38347,0.76934,0.68972,0.71039,0.40089,0.271,0.23069,0.09834,0.01504,1.42194,4.74339,1.33583,1.32289,0.000475848,0.000475848,0.000475848
5,20.4649,1.52431,4.2276,1.07247,1.2836,0.83522,0.76069,0.82135,0.49089,0.39514,0.30027,0.16502,0.02662,1.40323,4.553,0.97195,1.24825,0.000572288,0.000572288,0.000572288
6,24.2226,1.44234,3.9514,0.90482,1.22284,0.91054,0.76888,0.84025,0.51019,0.53121,0.42311,0.28917,0.05246,1.34959,4.2475,0.88,1.2068,0.00065764,0.00065764,0.00065764
7,28.2692,1.4745,3.86161,0.88607,1.22981,0.71533,0.76888,0.66405,0.40549,0.43079,0.45312,0.24848,0.04323,1.34437,3.92673,0.98816,1.18533,0.000731904,0.000731904,0.000731904
8,32.2796,1.44646,3.73484,0.80678,1.18876,0.77086,0.79163,0.7192,0.4383,0.46745,0.46004,0.26814,0.04712,1.33191,3.82743,0.95672,1.17475,0.00079508,0.00079508,0.00079508
9,35.7811,1.42159,3.67293,0.78838,1.18412,0.90586,0.83175,0.87113,0.52564,0.47538,0.41492,0.25129,0.04178,1.3443,3.86966,0.75947,1.15693,0.000847168,0.000847168,0.000847168
10,39.4721,1.38291,3.60214,0.73086,1.15522,0.89771,0.82712,0.87111,0.54474,0.58188,0.50955,0.3641,0.0657,1.31915,3.67005,0.75958,1.14658,0.000888168,0.000888168,0.000888168
11,43.3149,1.43187,3.64017,0.7634,1.18208,0.90996,0.83712,0.88398,0.54943,0.64934,0.56506,0.43985,0.08636,1.30255,3.68539,0.71122,1.14057,0.00091808,0.00091808,0.00091808
12,47.4324,1.37245,3.57174,0.72307,1.17389,0.93344,0.82946,0.89249,0.55124,0.59205,0.52138,0.37156,0.06787,1.35548,3.60493,0.68775,1.15491,0.000936904,0.000936904,0.000936904
13,50.9204,1.35744,3.45393,0.69982,1.14623,0.92351,0.83491,0.8942,0.56707,0.58159,0.5141,0.35318,0.06619,1.31912,3.57171,0.67948,1.14077,0.00094464,0.00094464,0.00094464
14,54.6337,1.38772,3.54094,0.73767,1.15841,0.92162,0.84524,0.90121,0.58021,0.66666,0.56595,0.44081,0.08694,1.2817,3.43677,0.641,1.12956,0.000941288,0.000941288,0.000941288
15,58.1078,1.32542,3.40318,0.66997,1.11676,0.93388,0.84804,0.90375,0.58051,0.57102,0.49591,0.33745,0.0627,1.2995,3.55622,0.6278,1.13023,0.0008912,0.0008912,0.0008912
16,64.4055,1.37015,3.51389,0.75577,1.19471,0.92784,0.84804,0.90355,0.56831,0.63117,0.54595,0.40519,0.07712,1.33108,3.50139,0.635,1.14156,0.000812,0.000812,0.000812
17,66.9164,1.33953,3.46809,0.67261,1.17293,0.92572,0.8391,0.89882,0.56969,0.66239,0.59509,0.46819,0.09338,1.32835,3.47096,0.63361,1.14449,0.0007328,0.0007328,0.0007328
18,69.4274,1.37158,3.47121,0.68037,1.15753,0.91058,0.84895,0.90119,0.57106,0.68915,0.63141,0.52866,0.10804,1.31223,3.44301,0.62233,1.13987,0.0006536,0.0006536,0.0006536
19,72.0368,1.3384,3.48616,0.67239,1.16617,0.93458,0.84531,0.90937,0.58776,0.70445,0.6242,0.5276,0.10734,1.26431,3.37976,0.59409,1.12179,0.0005744,0.0005744,0.0005744
20,74.5463,1.30356,3.32839,0.62479,1.1603,0.93785,0.85896,0.91154,0.58921,0.69678,0.61473,0.50806,0.10444,1.27355,3.40496,0.5768,1.12266,0.0004952,0.0004952,0.0004952
21,76.8678,1.28995,3.34699,0.59854,1.13021,0.94202,0.85745,0.91247,0.58621,0.68707,0.60055,0.49055,0.09723,1.28581,3.42233,0.57293,1.12423,0.000416,0.000416,0.000416
22,79.2455,1.29819,3.29313,0.61902,1.14401,0.94495,0.85714,0.91036,0.58717,0.71417,0.60419,0.50542,0.10623,1.27574,3.39616,0.56835,1.11943,0.0003368,0.0003368,0.0003368
23,81.6402,1.30285,3.3226,0.61949,1.11609,0.94147,0.86078,0.91161,0.5893,0.72088,0.62966,0.53531,0.11341,1.26584,3.37358,0.56473,1.1161,0.0002576,0.0002576,0.0002576
24,84.1314,1.26754,3.2834,0.60166,1.13385,0.93669,0.86157,0.91141,0.5905,0.7299,0.63967,0.54162,0.11359,1.26201,3.37298,0.55902,1.11557,0.0001784,0.0001784,0.0001784
25,86.9133,1.29282,3.32107,0.62504,1.13242,0.93886,0.85896,0.91143,0.58969,0.72209,0.63057,0.53157,0.11037,1.26046,3.37271,0.55634,1.11561,9.92e-05,9.92e-05,9.92e-05
