epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7731,2.45367,7.17167,3.60064,1.92554,0.15968,0.17351,0.12744,0.06083,0.00778,0.05749,0.00457,0.00098,1.92656,6.00305,2.45564,1.75072,0.00012,0.00012,0.00012
2,23.7439,1.77782,4.76688,1.62738,1.48562,0.78403,0.73424,0.79088,0.45055,0.12975,0.12526,0.03214,0.00495,1.52641,6.19268,2.02647,1.36108,0.00024713,0.00024713,0.00024713
3,34.3984,1.48604,3.92152,0.90519,1.23607,0.78165,0.78029,0.79846,0.46468,0.31776,0.30698,0.14911,0.02503,1.49153,5.24899,2.45724,1.34246,0.0003604,0.0003604,0.0003604
4,44.9764,1.39954,3.68328,0.78993,1.17876,0.74511,0.79235,0.78821,0.45843,0.19893,0.20123,0.06662,0.01059,1.49109,5.39157,2.59805,1.33776,0.00045981,0.00045981,0.00045981
5,57.0501,1.40299,3.6481,0.76946,1.17797,0.86425,0.78436,0.82925,0.48205,0.30087,0.28029,0.11742,0.01809,1.50061,4.74856,1.30449,1.31355,0.00054536,0.00054536,0.00054536
6,66.3851,1.4316,3.61017,0.7905,1.18232,0.83269,0.80737,0.79755,0.44608,0.49426,0.46357,0.29162,0.04924,1.45268,4.1152,1.18352,1.26462,0.00061705,0.00061705,0.00061705
7,77.6672,1.37583,3.53834,0.76055,1.16403,0.82095,0.78029,0.81683,0.47547,0.49424,0.39831,0.27288,0.04489,1.46538,4.19125,1.09316,1.26189,0.00067488,0.00067488,0.00067488
8,86.4584,1.40979,3.51436,0.77331,1.18109,0.86767,0.77618,0.83969,0.47627,0.40326,0.33265,0.20013,0.03449,1.5501,4.2237,1.37883,1.33214,0.00071885,0.00071885,0.00071885
9,98.2132,1.35139,3.40258,0.71821,1.14408,0.88823,0.80698,0.85916,0.51453,0.46908,0.39938,0.27006,0.04633,1.40671,3.97734,1.02463,1.25054,0.00074896,0.00074896,0.00074896
10,107.567,1.35919,3.38444,0.73867,1.14952,0.8787,0.77352,0.85073,0.50578,0.47522,0.40452,0.25782,0.04418,1.43044,4.02328,0.92529,1.25334,0.00076521,0.00076521,0.00076521
11,122.135,1.3782,3.44404,0.72484,1.17489,0.78896,0.67967,0.75637,0.44411,0.51506,0.41438,0.33057,0.06308,1.46167,3.96549,1.06346,1.26884,0.0007676,0.0007676,0.0007676
12,127.989,1.31645,3.34132,0.69175,1.15489,0.80438,0.78944,0.84424,0.51434,0.41262,0.35268,0.23118,0.03926,1.41372,4.03993,1.00998,1.21568,0.00075613,0.00075613,0.00075613
13,134.487,1.33716,3.37837,0.69286,1.15822,0.80532,0.79847,0.85345,0.51214,0.47082,0.43121,0.30191,0.05523,1.40632,3.83247,0.9272,1.21141,0.0007308,0.0007308,0.0007308
14,140.412,1.31559,3.28509,0.67676,1.11955,0.88519,0.80744,0.88029,0.54099,0.62156,0.51643,0.42301,0.08423,1.37171,3.63055,0.84158,1.18985,0.00069161,0.00069161,0.00069161
15,146.54,1.29025,3.31781,0.66849,1.13882,0.80118,0.78747,0.84331,0.52129,0.45466,0.42402,0.29798,0.0537,1.37811,3.80745,0.83511,1.20008,0.000614,0.000614,0.000614
16,152.557,1.27241,3.24822,0.64432,1.12953,0.87083,0.77515,0.86248,0.53688,0.4701,0.40144,0.25685,0.04726,1.36159,4.02784,0.77762,1.18608,0.000515,0.000515,0.000515
17,158.167,1.27408,3.3177,0.66921,1.12459,0.90289,0.7637,0.86496,0.53469,0.56194,0.45964,0.34241,0.06463,1.36387,3.83998,0.74637,1.18111,0.000416,0.000416,0.000416
18,164.5,1.25905,3.21562,0.62972,1.14013,0.92503,0.8152,0.88366,0.54298,0.64481,0.52875,0.42457,0.083,1.34489,3.6663,0.68275,1.16843,0.000317,0.000317,0.000317
19,170.366,1.24751,3.16318,0.60566,1.11483,0.92563,0.83062,0.89923,0.56656,0.66183,0.5729,0.47314,0.09452,1.32653,3.51488,0.64101,1.15998,0.000218,0.000218,0.000218
20,176.872,1.22691,3.1574,0.5801,1.09288,0.93104,0.83573,0.903,0.56925,0.66459,0.5883,0.48598,0.09479,1.34177,3.44981,0.63102,1.16578,0.000119,0.000119,0.000119
