epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.2251,2.65076,8.14659,3.58067,2.32606,0.02806,0.20739,0.03847,0.01324,0.0069,0.01027,0.00149,0.00021,2.27045,6.34503,3.76408,2.26639,0.00012,0.00012,0.00012
2,9.10356,2.32059,6.16287,3.17345,2.04283,0.17564,0.28953,0.12184,0.05146,0.00393,0.02875,0.00204,0.00035,1.8329,5.46713,2.20418,1.73593,0.000249704,0.000249704,0.000249704
3,13.0693,1.80024,5.02454,1.89798,1.52157,0.48903,0.46407,0.47064,0.22299,0.03131,0.03183,0.00496,0.00087,1.59786,5.54137,4.12708,1.53156,0.00036832,0.00036832,0.00036832
4,16.339,1.58078,4.46664,1.28229,1.32395,0.69047,0.64586,0.64997,0.35183,0.20602,0.17967,0.06614,0.00981,1.57899,5.18416,1.27053,1.42113,0.000475848,0.000475848,0.000475848
5,20.3675,1.51268,4.19296,1.08373,1.27305,0.8524,0.71149,0.77553,0.43801,0.45203,0.32752,0.21173,0.03391,1.5061,4.61239,0.99945,1.32689,0.000572288,0.000572288,0.000572288
6,24.6023,1.42636,3.92225,0.87558,1.20182,0.87457,0.74448,0.80399,0.46892,0.49535,0.37691,0.2616,0.04478,1.46529,4.32125,0.90484,1.28169,0.00065764,0.00065764,0.00065764
7,29.08,1.40741,3.78428,0.80112,1.18527,0.89216,0.7984,0.84234,0.47843,0.46737,0.38501,0.24013,0.04033,1.48559,4.29524,0.88171,1.26456,0.000731904,0.000731904,0.000731904
8,33.0916,1.43212,3.72022,0.78311,1.17957,0.89784,0.80595,0.85181,0.48138,0.49434,0.42094,0.26801,0.04736,1.46846,4.13571,0.83691,1.24321,0.00079508,0.00079508,0.00079508
9,36.7927,1.37993,3.5891,0.74275,1.15717,0.90827,0.81006,0.86421,0.48228,0.50759,0.42813,0.26007,0.04386,1.46577,4.08943,0.83417,1.23323,0.000847168,0.000847168,0.000847168
10,40.7412,1.39874,3.56336,0.73449,1.16664,0.897,0.82258,0.87131,0.50704,0.61068,0.51232,0.37704,0.06567,1.42443,3.908,0.76002,1.20867,0.000888168,0.000888168,0.000888168
11,44.3979,1.34298,3.46928,0.69276,1.12257,0.8932,0.82752,0.87155,0.51168,0.58891,0.50513,0.3708,0.07053,1.41911,3.87872,0.72582,1.20457,0.00091808,0.00091808,0.00091808
12,48.3898,1.37368,3.56952,0.72532,1.16001,0.90777,0.82033,0.87684,0.51286,0.57266,0.51593,0.37553,0.06494,1.46225,3.83745,0.73615,1.21802,0.000936904,0.000936904,0.000936904
13,52.3176,1.35724,3.50273,0.71802,1.14959,0.91226,0.8152,0.88127,0.5263,0.58124,0.52156,0.37738,0.0697,1.42731,3.78194,0.70403,1.19727,0.00094464,0.00094464,0.00094464
14,56.0927,1.36196,3.50039,0.68026,1.12508,0.92234,0.82922,0.88723,0.54535,0.57361,0.47947,0.34255,0.06263,1.3879,3.77037,0.67897,1.18279,0.000941288,0.000941288,0.000941288
15,59.8387,1.35131,3.47489,0.67338,1.12647,0.91934,0.83265,0.89188,0.54031,0.51221,0.43634,0.28959,0.04836,1.41604,3.84893,0.68733,1.19585,0.0008912,0.0008912,0.0008912
16,66.2791,1.34701,3.438,0.77655,1.19189,0.91547,0.8339,0.89512,0.52284,0.46573,0.4076,0.2423,0.04104,1.45792,3.94132,0.69269,1.21637,0.000812,0.000812,0.000812
17,68.683,1.35147,3.47302,0.68801,1.15412,0.91607,0.83368,0.89435,0.52513,0.55283,0.47639,0.32294,0.0573,1.44004,3.80064,0.68269,1.20764,0.0007328,0.0007328,0.0007328
18,71.0345,1.3149,3.38852,0.65059,1.1456,0.91325,0.83162,0.89239,0.54103,0.62121,0.53183,0.40653,0.07568,1.39201,3.66295,0.66575,1.18748,0.0006536,0.0006536,0.0006536
19,73.5519,1.33994,3.3881,0.64809,1.16936,0.92407,0.82466,0.89419,0.5514,0.57096,0.49692,0.34081,0.06152,1.36278,3.75743,0.65409,1.17981,0.0005744,0.0005744,0.0005744
20,76.0002,1.31993,3.36362,0.66586,1.1484,0.93173,0.8267,0.89575,0.54618,0.501,0.43018,0.26237,0.04438,1.38356,3.93593,0.66331,1.18872,0.0004952,0.0004952,0.0004952
21,78.2776,1.30051,3.35684,0.61774,1.15151,0.92875,0.8347,0.89568,0.53974,0.513,0.44045,0.27242,0.04781,1.40357,3.87408,0.66016,1.19444,0.000416,0.000416,0.000416
22,80.5583,1.28465,3.28621,0.61005,1.14037,0.92877,0.83984,0.89898,0.54264,0.60408,0.51129,0.36839,0.06817,1.3995,3.63701,0.64162,1.18777,0.0003368,0.0003368,0.0003368
23,82.8815,1.27196,3.25779,0.60951,1.11653,0.92089,0.84292,0.89908,0.55123,0.64527,0.56776,0.43957,0.08401,1.36523,3.56869,0.62598,1.17323,0.0002576,0.0002576,0.0002576
24,85.3593,1.27481,3.29524,0.60989,1.11713,0.92891,0.83778,0.90062,0.55519,0.65797,0.55852,0.44472,0.08894,1.34825,3.54286,0.61805,1.16742,0.0001784,0.0001784,0.0001784
25,87.861,1.25929,3.27022,0.587,1.1157,0.92765,0.83778,0.90048,0.55495,0.65849,0.57392,0.45386,0.09009,1.34513,3.54943,0.61622,1.16643,9.92e-05,9.92e-05,9.92e-05
