epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.09766,3.98265,7.05271,3.53074,0.006,0.04043,0.00611,0.00248,2.92909,6.64069,2.72984,0.00012,0.00012,0.00012
2,6.06928,3.23094,6.00914,2.7352,0.00773,0.05211,0.00582,0.00265,2.67997,6.17828,2.41743,0.00024713,0.00024713,0.00024713
3,9.13092,2.98284,5.16405,2.37954,0.01333,0.08985,0.02556,0.01603,2.61823,5.98136,2.30501,0.0003604,0.0003604,0.0003604
4,12.1455,2.96241,4.53552,2.26903,0.0372,0.25067,0.11537,0.07218,2.57523,5.75529,2.20072,0.00045981,0.00045981,0.00045981
5,15.0174,3.08826,3.71607,2.33774,0.05653,0.38095,0.21332,0.12794,2.67077,5.35854,2.15085,0.00054536,0.00054536,0.00054536
6,17.7791,3.06681,3.11969,2.30698,0.09173,0.61815,0.27411,0.16879,2.80145,5.15499,2.20137,0.00061705,0.00061705,0.00061705
7,20.7476,3.02579,2.8331,2.30482,0.1176,0.79245,0.58491,0.34344,2.89508,4.60404,2.22045,0.00067488,0.00067488,0.00067488
8,23.5957,3.00548,2.69467,2.26532,0.63725,0.58242,0.60897,0.37129,2.88254,4.21119,2.22751,0.00071885,0.00071885,0.00071885
9,26.6407,3.01597,2.68182,2.31047,0.67822,0.59299,0.6245,0.36818,2.9618,4.08374,2.25237,0.00074896,0.00074896,0.00074896
10,29.5673,2.90914,2.45035,2.2657,0.78813,0.49596,0.60154,0.38619,2.80271,3.79858,2.21191,0.00076521,0.00076521,0.00076521
11,34.0821,2.94382,3.16232,2.38375,0.82023,0.47552,0.62159,0.37593,2.90778,3.74653,2.27158,0.0007676,0.0007676,0.0007676
12,35.7602,2.88031,2.42869,2.27873,0.1168,0.78706,0.5475,0.33864,2.73223,3.7086,2.26695,0.00075613,0.00075613,0.00075613
13,37.2889,2.85472,2.40583,2.30207,0.1216,0.81941,0.62381,0.37825,2.72287,3.63077,2.25631,0.0007308,0.0007308,0.0007308
14,38.8564,2.82446,2.49029,2.34576,0.94476,0.3995,0.70299,0.43091,2.80349,3.1406,2.30126,0.00069161,0.00069161,0.00069161
15,40.4193,2.79591,2.21964,2.24235,0.76404,0.58768,0.69996,0.45736,2.68705,2.54379,2.25475,0.000614,0.000614,0.000614
16,42.0722,2.7471,2.19561,2.25733,0.78117,0.60377,0.71655,0.46616,2.74251,2.23941,2.25705,0.000515,0.000515,0.000515
17,43.6685,2.69735,2.09656,2.19774,0.78869,0.64051,0.73573,0.47383,2.74597,2.13572,2.24643,0.000416,0.000416,0.000416
18,45.2641,2.72622,2.03082,2.25261,0.81209,0.65233,0.7555,0.49109,2.69655,1.99551,2.22507,0.000317,0.000317,0.000317
19,46.8658,2.6944,2.18103,2.26018,0.8025,0.66217,0.76744,0.49761,2.71385,1.93245,2.23403,0.000218,0.000218,0.000218
20,48.4723,2.63197,1.95073,2.18545,0.80631,0.66949,0.7768,0.50189,2.70992,1.8851,2.23479,0.000119,0.000119,0.000119
