epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.83255,2.25001,6.64637,3.5123,1.9565,0.60988,0.50103,0.56031,0.2603,0.00241,0.00411,0.00071,0.00014,1.87349,6.63437,3.24918,1.71804,0.00012,0.00012,0.00012
2,8.56997,1.75485,4.66691,1.56027,1.57768,0.70021,0.63142,0.67513,0.37972,0.2125,0.17762,0.06481,0.01037,1.55255,5.95606,1.4862,1.51219,0.00024713,0.00024713,0.00024713
3,12.687,1.50299,3.84906,1.00658,1.3396,0.48891,0.80493,0.66791,0.39156,0.12285,0.20226,0.05985,0.00887,1.50334,5.26944,3.46458,1.55336,0.0003604,0.0003604,0.0003604
4,16.7256,1.41192,3.66017,0.81269,1.27764,0.15761,0.77618,0.15548,0.09007,0.03357,0.1653,0.01643,0.00268,1.46483,5.74462,inf,1.55355,0.00045981,0.00045981,0.00045981
5,20.3212,1.41634,3.66639,0.82469,1.32597,0.15224,0.67454,0.1221,0.07035,0.09173,0.40452,0.05561,0.01096,1.45107,4.73058,inf,1.5085,0.00054536,0.00054536,0.00054536
6,24.1574,1.38647,3.5528,0.76046,1.27764,0.52856,0.82534,0.5374,0.31369,0.25268,0.39425,0.14217,0.02451,1.44097,4.58443,3.54868,1.48247,0.00061705,0.00061705,0.00061705
7,28.0859,1.36976,3.43954,0.71754,1.26019,0.43669,0.78717,0.40826,0.23346,0.13669,0.24025,0.05192,0.00863,1.44971,5.22255,4.60397,1.50247,0.00067488,0.00067488,0.00067488
8,31.5945,1.38684,3.52774,0.76303,1.26853,0.80085,0.75667,0.74717,0.42179,0.26611,0.24333,0.09331,0.01471,1.54028,4.53136,1.5565,1.55264,0.00071885,0.00071885,0.00071885
9,35.3952,1.37117,3.43631,0.73083,1.26997,0.26317,0.70739,0.226,0.12286,0.10629,0.28217,0.04881,0.00861,1.5899,5.08788,5.39649,1.57023,0.00074896,0.00074896,0.00074896
10,38.6863,1.41975,3.47954,0.77203,1.28142,0.20357,0.74538,0.17558,0.10229,0.09752,0.35524,0.05392,0.00994,1.46895,4.64579,inf,1.49556,0.00076521,0.00076521,0.00076521
11,44.8684,1.36641,3.48855,0.7949,1.33023,0.28067,0.70739,0.24524,0.14457,0.18853,0.45277,0.11689,0.02293,1.46053,3.98145,inf,1.45519,0.0007676,0.0007676,0.0007676
12,47.4647,1.32277,3.36973,0.73631,1.30112,0.89196,0.73101,0.81783,0.47783,0.51761,0.4076,0.26782,0.04974,1.44606,4.07849,0.99838,1.44347,0.00075613,0.00075613,0.00075613
13,50.0154,1.34291,3.4171,0.71275,1.29695,0.91543,0.72238,0.82572,0.50037,0.59679,0.45277,0.3563,0.06507,1.40392,3.85179,0.94934,1.40249,0.0007308,0.0007308,0.0007308
14,52.7287,1.31092,3.28464,0.70462,1.27971,0.92073,0.79903,0.8722,0.51921,0.56006,0.43121,0.30182,0.05569,1.42743,3.84525,0.97176,1.43512,0.00069161,0.00069161,0.00069161
15,55.4117,1.2813,3.29304,0.69674,1.29693,0.90075,0.79774,0.86999,0.52117,0.60625,0.5,0.39323,0.07035,1.42114,3.67447,0.78925,1.41588,0.000614,0.000614,0.000614
16,57.9753,1.27912,3.24655,0.64737,1.28111,0.91157,0.81495,0.87123,0.51854,0.48375,0.42813,0.27421,0.04738,1.45267,3.91759,0.75752,1.4356,0.000515,0.000515,0.000515
17,60.2701,1.26581,3.16403,0.62314,1.24528,0.91838,0.82024,0.88081,0.53617,0.59274,0.53048,0.40222,0.07284,1.41051,3.71032,0.73401,1.40843,0.000416,0.000416,0.000416
18,62.7224,1.21998,3.12407,0.59931,1.20834,0.93032,0.82546,0.88771,0.56038,0.62862,0.54046,0.44055,0.08394,1.34768,3.61362,0.71164,1.35539,0.000317,0.000317,0.000317
19,65.2838,1.23966,3.13167,0.60711,1.23331,0.93368,0.82383,0.89844,0.56482,0.64406,0.56468,0.46579,0.09224,1.34446,3.56032,0.65913,1.34896,0.000218,0.000218,0.000218
20,67.9175,1.22708,3.11846,0.61999,1.27839,0.92559,0.84292,0.90819,0.57338,0.67204,0.57803,0.48022,0.09686,1.34136,3.4599,0.63491,1.34131,0.000119,0.000119,0.000119
