epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.04208,2.31786,3.64168,1.86252,0.56345,0.53271,0.53678,0.28687,1.66562,1.5645,1.47407,0.00012,0.00012,0.00012
2,5.39113,1.6871,1.31729,1.40515,0.76433,0.69926,0.78442,0.44034,1.4919,1.72115,1.28625,0.00024713,0.00024713,0.00024713
3,8.10026,1.5125,0.99115,1.23956,0.78093,0.78953,0.79875,0.43102,1.54036,1.87273,1.34776,0.0003604,0.0003604,0.0003604
4,10.8361,1.44318,0.82707,1.18342,0.87225,0.79671,0.84499,0.48696,1.46491,1.62842,1.26981,0.00045981,0.00045981,0.00045981
5,13.924,1.41495,0.79434,1.18092,0.86454,0.82136,0.85254,0.49544,1.47248,2.12105,1.29456,0.00054536,0.00054536,0.00054536
6,16.7545,1.38351,0.78959,1.16828,0.87797,0.8193,0.85986,0.50819,1.44283,1.64725,1.28475,0.00061705,0.00061705,0.00061705
7,20.1741,1.38933,0.72297,1.16532,0.90026,0.80903,0.85778,0.50524,1.42758,1.15107,1.26164,0.00067488,0.00067488,0.00067488
8,22.5904,1.38362,0.73218,1.15109,0.91421,0.79867,0.85752,0.51295,1.43739,0.97873,1.26085,0.00071885,0.00071885,0.00071885
9,25.2921,1.35162,0.68577,1.14927,0.92415,0.76303,0.85279,0.50588,1.441,0.87142,1.2598,0.00074896,0.00074896,0.00074896
10,28.0575,1.35763,0.68574,1.14565,0.90671,0.77515,0.86258,0.50092,1.41862,0.86155,1.24506,0.00076521,0.00076521,0.00076521
11,32.9214,1.33383,0.73162,1.15984,0.92228,0.77413,0.85461,0.50411,1.43533,0.81602,1.24561,0.0007676,0.0007676,0.0007676
12,34.3475,1.30568,0.6854,1.1499,0.89717,0.7883,0.86095,0.50867,1.45832,0.81281,1.29111,0.00075613,0.00075613,0.00075613
13,35.6449,1.32744,0.67452,1.16103,0.90648,0.77627,0.85851,0.51951,1.4023,0.768,1.25952,0.0007308,0.0007308,0.0007308
14,36.9719,1.30268,0.65036,1.1425,0.91418,0.80934,0.88234,0.53397,1.42695,0.71966,1.25803,0.00069161,0.00069161,0.00069161
15,38.311,1.2918,0.63641,1.15485,0.93103,0.80698,0.88526,0.53249,1.41338,0.74186,1.2486,0.000614,0.000614,0.000614
16,39.6386,1.2705,0.61446,1.14463,0.92568,0.80903,0.87968,0.52487,1.40498,0.7172,1.2268,0.000515,0.000515,0.000515
17,40.8747,1.26098,0.59409,1.11864,0.93766,0.80298,0.87858,0.52786,1.40393,0.71786,1.22496,0.000416,0.000416,0.000416
18,42.1866,1.2301,0.58281,1.09488,0.93396,0.81314,0.88598,0.55206,1.334,0.68201,1.1889,0.000317,0.000317,0.000317
19,43.5565,1.26405,0.58743,1.12438,0.93872,0.81787,0.8908,0.56082,1.32291,0.65965,1.18514,0.000218,0.000218,0.000218
20,45.0053,1.22217,0.58879,1.14021,0.93395,0.82649,0.89736,0.56794,1.32899,0.63687,1.18395,0.000119,0.000119,0.000119
