epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.77819,2.26342,6.59079,3.54193,2.01948,0.34283,0.64841,0.55402,0.28573,0.00196,0.00819,0.00075,0.00016,1.65554,6.15794,inf,1.63403,0.00012,0.00012,0.00012
2,8.57223,1.7616,4.61352,1.62137,1.62244,0.71972,0.72884,0.71278,0.39919,0.30815,0.31028,0.14321,0.02283,1.54216,4.84458,2.95294,1.45897,0.00024713,0.00024713,0.00024713
3,11.919,1.54922,4.15917,1.06896,1.35871,0.21899,0.88444,0.23362,0.13815,0.05401,0.21656,0.02879,0.00454,1.41614,5.48254,inf,1.46794,0.0003604,0.0003604,0.0003604
4,16.3441,1.5203,3.90957,0.95439,1.32428,0.21209,0.79163,0.24157,0.14933,0.05388,0.20109,0.02786,0.00464,1.34383,4.5066,inf,1.43973,0.00045981,0.00045981,0.00045981
5,20.1926,1.45681,3.74785,0.89702,1.30136,0.39039,0.86897,0.40745,0.24533,0.22254,0.35578,0.12173,0.02025,1.31927,4.02935,inf,1.34351,0.00054536,0.00054536,0.00054536
6,23.5592,1.40581,3.57587,0.78058,1.27943,0.50697,0.596,0.44042,0.27409,0.29567,0.34759,0.15062,0.02907,1.32598,4.07255,inf,1.33155,0.00061705,0.00061705,0.00061705
7,27.3102,1.42454,3.57005,0.80299,1.2848,0.67654,0.73794,0.7811,0.50547,0.40132,0.43039,0.31309,0.05956,1.31383,4.04038,2.51358,1.32551,0.00067488,0.00067488,0.00067488
8,31.1822,1.4374,3.57484,0.78843,1.25947,0.87193,0.72884,0.83484,0.51084,0.35224,0.27025,0.1407,0.02151,1.40831,4.25913,1.32286,1.34537,0.00071885,0.00071885,0.00071885
9,34.9318,1.40088,3.53649,0.76026,1.25836,0.861,0.78617,0.85877,0.5499,0.49931,0.39672,0.28328,0.04914,1.28677,3.79433,1.00281,1.26694,0.00074896,0.00074896,0.00074896
10,38.7814,1.36591,3.44745,0.71537,1.2327,0.79785,0.65,0.71159,0.41997,0.34555,0.22384,0.12467,0.0215,1.47359,4.3368,1.31021,1.35874,0.00076521,0.00076521,0.00076521
11,45.0924,1.457,3.559,0.88759,1.3821,0.81983,0.69609,0.74984,0.44214,0.50749,0.36488,0.25808,0.04964,1.42942,4.23728,1.09919,1.33879,0.0007676,0.0007676,0.0007676
12,47.5525,1.37784,3.4306,0.80469,1.23761,0.28903,0.23567,0.12886,0.06711,0.11165,0.08007,0.01791,0.0028,2.0985,8.21194,2.57775,1.73199,0.00075613,0.00075613,0.00075613
13,49.8705,1.38244,3.41577,0.73843,1.30943,0.48096,0.30101,0.24071,0.13097,0.22232,0.11575,0.04036,0.00631,1.93357,6.75377,1.94573,1.5791,0.0007308,0.0007308,0.0007308
14,52.1326,1.34504,3.43937,0.79547,1.30153,0.77823,0.55414,0.62121,0.36308,0.44277,0.23476,0.17469,0.03188,1.5688,4.74336,1.37555,1.39084,0.00069161,0.00069161,0.00069161
15,54.4341,1.3175,3.29626,0.69989,1.25491,0.8665,0.75594,0.83677,0.50137,0.3744,0.27298,0.1683,0.03085,1.4423,4.08543,0.90138,1.33957,0.000614,0.000614,0.000614
16,56.8533,1.32798,3.35879,0.68995,1.24346,0.9164,0.83167,0.89329,0.57197,0.63484,0.54049,0.43389,0.0865,1.29645,3.53991,0.76989,1.25606,0.000515,0.000515,0.000515
17,59.3383,1.25348,3.24882,0.62719,1.19623,0.9187,0.83621,0.89675,0.58268,0.6964,0.63694,0.55283,0.1172,1.25847,3.388,0.7313,1.23371,0.000416,0.000416,0.000416
18,61.9513,1.30347,3.26953,0.6454,1.26243,0.9438,0.84037,0.9056,0.58919,0.6939,0.60965,0.50161,0.10042,1.27759,3.3881,0.63131,1.23955,0.000317,0.000317,0.000317
19,64.3231,1.31222,3.36034,0.67483,1.27712,0.94236,0.85623,0.91558,0.5856,0.61189,0.55596,0.41375,0.07793,1.30327,3.47537,0.61081,1.24722,0.000218,0.000218,0.000218
20,66.6599,1.2599,3.17619,0.60114,1.21258,0.94804,0.85623,0.919,0.60192,0.67357,0.60783,0.49197,0.10123,1.25939,3.36578,0.59026,1.22316,0.000119,0.000119,0.000119
